item,count,f
"none available",380,50.20
"BUSINESS PROCESS MANAGEMENT",116,15.32
"PROCESS MINING",40,5.28
"BPM",28,3.70
"PERFORMANCE MEASUREMENT",20,2.64
"BUSINESS PROCESS",19,2.51
"KEY PERFORMANCE INDICATORS",19,2.51
"KPI",16,2.11
"SIMULATION",15,1.98
"BPMN",10,1.32
"PROCESS PERFORMANCE INDICATORS",10,1.32
"BUSINESS INTELLIGENCE",9,1.19
"PERFORMANCE",9,1.19
"BUSINESS PROCESS MANAGEMENT (BPM)",8,1.06
"BUSINESS PROCESS MODELING",8,1.06
"BUSINESS PROCESSES",8,1.06
"DATA MINING",8,1.06
"PERFORMANCE INDICATORS",8,1.06
"PERFORMANCE MANAGEMENT",8,1.06
"SUPPLY CHAIN MANAGEMENT",7,0.92
"SYSTEMATIC LITERATURE REVIEW",7,0.92
"WORKFLOW",7,0.92
"BIG DATA",6,0.79
"BUSINESS PROCESS MODELLING",6,0.79
"KEY PERFORMANCE INDICATOR",6,0.79
"ONTOLOGY",6,0.79
"PROCESS MANAGEMENT",6,0.79
"PROCESS MODELING",6,0.79
"PROCESS MONITORING",6,0.79
"PROCESS PERFORMANCE MEASUREMENT",6,0.79
"AB TESTING",5,0.66
"BUSINESS PROCESS IMPROVEMENT",5,0.66
"BUSINESS PROCESS MANAGEMEN",5,0.66
"BUSINESS PROCESS MONITORING",5,0.66
"CASE STUDY",5,0.66
"DIGITALIZATION",5,0.66
"GOAL MODELING",5,0.66
"GREEN BPM",5,0.66
"GREEN BUSINESS PROCESS MANAGEMENT",5,0.66
"METRICS",5,0.66
"ORGANIZATIONAL PERFORMANCE",5,0.66
"PERFORMANCE MEASUREMENT SYSTEM",5,0.66
"PREDICTION",5,0.66
"STRATEGIC ALIGNMENT",5,0.66
"BALANCED SCORECARD",4,0.53
"BUSINESS ACTIVITY MONITORING",4,0.53
"BUSINESS PROCESS MODEL",4,0.53
"COMPLEX EVENT PROCESSING",4,0.53
"DEEP LEARNING",4,0.53
"DESIGN SCIENCE RESEARCH",4,0.53
"EMERGENCY DEPARTMENT",4,0.53
"EVENT LOGS",4,0.53
"INDICATOR",4,0.53
"INDUSTRY 4.0",4,0.53
"KEY PERFORMANCE INDICATORS (KPI)",4,0.53
"MACHINE LEARNING",4,0.53
"MANAGEMENT",4,0.53
"ONTOLOGIES",4,0.53
"PERFORMANCE ANALYSIS",4,0.53
"PERFORMANCE MEASURES",4,0.53
"PREDICTIVE ANALYTICS",4,0.53
"PROCESS ANALYSIS",4,0.53
"PROCESS AUTOMATION",4,0.53
"PROCESS IMPROVEMENT",4,0.53
"PROCESS MODELLING",4,0.53
"PROCESS PERFORMANCE",4,0.53
"PROCESS PERFORMANCE MANAGEMENT",4,0.53
"ROBOTIC PROCESS AUTOMATION",4,0.53
"STRATEGY",4,0.53
"SUSTAINABILITY",4,0.53
"ACTIVITY-BASED COSTING",3,0.40
"BENCHMARKING",3,0.40
"BPR",3,0.40
"BUSINESS MODEL",3,0.40
"BUSINESS PERFORMANCE MANAGEMENT",3,0.40
"BUSINESS PROCESS ANALYSIS",3,0.40
"BUSINESS PROCESS INTELLIGENCE",3,0.40
"BUSINESS PROCESS RE-ENGINEERING",3,0.40
"BUSINESS PROCESS REENGINEERING",3,0.40
"BUSINESS PROCESS SIMULATION",3,0.40
"DATA SCIENCE",3,0.40
"FUZZY LOGIC",3,0.40
"GREEN INFORMATION SYSTEMS",3,0.40
"GREEN IT",3,0.40
"HEALTHCARE",3,0.40
"INTERNET OF THINGS",3,0.40
"KEY PERFORMANCE INDICATOR (KPI)",3,0.40
"KEY PERFORMANCE INDICATORS (KPIS)",3,0.40
"KNOWLEDGE MANAGEMENT",3,0.40
"MANAGEMENT ACCOUNTING",3,0.40
"MANAGEMENT CONTROL SYSTEMS",3,0.40
"MONITORING",3,0.40
"OPTIMIZATION",3,0.40
"PROCESS OPTIMIZATION",3,0.40
"PROCESS ORIENTATION",3,0.40
"PROJECT MANAGEMENT",3,0.40
"REQUIREMENTS ENGINEERING",3,0.40
"RISK MANAGEMENT",3,0.40
"RPA",3,0.40
"SLA",3,0.40
"SUPPLY CHAIN",3,0.40
"ACTION DESIGN RESEARCH",2,0.26
"AHP",2,0.26
"ANALYTICS",2,0.26
"ARTIFICIAL INTELLIGENCE",2,0.26
"ASSESSMENT",2,0.26
"AUTOMATED ANALYSIS",2,0.26
"BPM ADOPTION",2,0.26
"BPM LIFE CYCLE",2,0.26
