0	The proceedings contains 130 papers from the Proceedings of the 2003 winter simulation conference. Topics discussed include: spreadsheet simulation; tips for successful practice of simulation; control variate techniques for Monte Carlo simulation; towards simulation-based business process management; applications of simulation models in finance and insurance; non-stationary queue simulation analysis using time series; a meta-theoretic approach to modeling and simulation; and a taxonomy of visualization techniques for simulation in production and logistics.
1	The proceedings contain 73 papers. The special focus in this conference is on Virtual Enterprises. The topics include: Towards establishing trust relationships among organizations in VBES; trust building in collaborative networked organizations supported by communities of practice; measuring collaboration performance in virtual organizations; towards a conceptual model of value systems in collaborative networks; network analysis by the codesnet approach; assessment of collaborative networks structural stability; a decision support framework for collaborative networks; enabling virtual organizations in a technological district; ontology engineering in virtual breeding environments; assessing the value of mediators in collaborative business networks; a computer-assisted VO creation framework; collaboration opportunity finder; an ontology-based approach for selecting performance indicators for partners suggestion; multiple criteria partner selection in virtual enterprises; fundaments of virtual organization e-contracting; agent-based contracting in virtual enterprises; a lawful framework for distributed electronic markets; towards learning collaborative networked organizations; identification of forms and components of VO inheritance; a generic strategic layer for collaborative networks; virtual power producers integration into MASCEM; agent-based architecture for virtual enterprises to support agility; towards an architecture modeling language for networked organizations; business modelling for knowledge networks; an estimation model for business benefits in horizontal collaborative networks; examining the antecedents to innovation in electronic networks of practice; support for power in adaptation of social protocols for professional virtual communities; virtual customer communities; the impact of customer participation on business ecosystems; social network analysis of team dynamics and intraorganizational development in an aerospace firm; the tacit dimensions of collaborative network traffic; collaborative services to maintain electronic business relationships; towards seamless interoperability in collaborative networks; ambient intelligence and simulation in health care virtual scenarios; collaboration within the tool-and-die manufacturing industry through open-source modular ERP/CRM systems; a cartography based methodology for collaborative process definition; interactive user-centered business process management services; workflow technology supporting the operation of virtual ISPs; introducing a collaborative business model for European ERP value chains of SMEs; enhancing enterprise collaboration by using multifaceted services; application of the fusion approach for assisted composition of web services; semantic integration of business applications across collaborative value networks; collaborative environments work; a knowledge search framework for collaborative networks; distributed design of product oriented manufacturing systems; virtual organisation in cross domain engineering; collaboration and adaptation in scheduling; virtual organizations for municipalities; engineering methodology for organisation networks; a procedure for the analysis of industrial networks; the evaluation of coordination policies in logistics services markets and business models for collaborative planning in transportation.
2	The proceedings contain 38 papers. The special focus in this conference is on Electronic Government. The topics include: Government as a launching customer for einvoicing; transformational government citizens’ Services Adoption: A conceptual framework; the eGovernment Services Delivery of the Italian Municipalities; The state of IT governance: Patterns of variation at the central government level in Norway; Information strategies for open government in Europe: EU regions opening up the data on structural funds; market, network, hierarchy: Emerging mechanisms of governance in business process management; computing and information technology challenges for 21st century financial market regulators; eGovernment trends in the web 2.0 era and the open innovation perspective: An exploratory field study; a scenario-based approach towards open collaboration for policy modelling; building theoretical foundations for electronic governance benchmarking; open government data: A stage model; enrolling local strategic actors in public portal development; inter-organizational Cooperation in Swiss eGovernment; scarcity, exit, voice and violence: The state seen through eGovernment; a conceptual model for G2G relationships; coverage of egovernment security issues in mass media; a context-aware inter-organizational collaboration model applied to international trade; KPI-supported PDCA model for innovation policy management in local government; On the relevance of enterprise architecture and IT governance for digital preservation; Interoperability, enterprise architectures, and IT Governance in Government; Connecting eGovernment to Real Government - The Failure of the UN eParticipation Index; exploring information security issues in public sector inter-organizational collaboration; ambiguities in the early stages of public sector enterprise architecture implementation: Outlining complexities of interoperability; integrity of electronic patient records.
3	The proceedings contain 68 papers. The topics discussed include: corporate culture in line with business process orientation and its impact on organizational performance; agent assignment for process management: goal modeling for continuous resource management; measuring the understandability of business process models - are we asking the right questions?; what you see and do is what you get: a human-centric design approach to human-centric process; an exploratory study of IT-enabled collaborative process modeling; business process compliance tracking using key performance indicators; temporal specification of business processes through project planning tools; supporting context-aware process design: learnings from a design science study; mining context-dependent and interactive business process maps using execution patterns; towards robust conformance checking; and run-time auditing for business processes data using constraints.
4	The proceedings contain 13 papers. The special focus in this conference is on Execution, Modeling and Management. The topics include: Resource allocation with dependencies in business process management systems; parent-child relation between process instances; hybrid approach for flexible case modeling and execution; software process performance improvement using data provenance and ontology; estimating the cost for executing business processes in the cloud; identifying variability in process performance indicators; checklist-based inspection technique for business process models; activity matching with human intelligence; process model comparison based on cophenetic distance; unlocking the potential of the process perspective in business transformation; focusing business improvements using process mining based influence analysis; factors affecting the sustained use of process models and a model-driven approach for domain specific process design and monitoring.
5	The proceedings contain 25 papers. The topics discussed include: improving strategic scanning information analysis: an alternative measure for information proximity evaluation; semantic business process representation to enhance the degree of BPM mechanization - an ontology; work level related human factors for enterprise architecture as organisational strategy; an interactive video system for learning and knowledge management; enterprise capability modeling: concepts, method, and application; organisational theory: did it outgrow management theory? a case study of the African oil and gas industry; threats and opportunities for information systems outsourcing; adoption of new technological innovation by SMMEs in South Africa - information accessibility a key to successful technology uptake; business model management system design: manifesto, requirements, and prototype; and KPI evaluation of the business process execution through event monitoring activity.
6	The proceedings contain 398 papers. The topics discussed include: how different types of is assets account for synergy-enabled value in multi-unit firms: mapping of critical success factors and key performance indicators; information systems for sustainability reporting - a state of practice; leading effect of social media for financial fraud disclosure: a text mining based analytics; a framework for disruptive innovation diffusion; and a study on the relation between business process management maturity and innovation.
7	The proceedings contain 43 papers. The special focus in this conference is on Conceptual Modeling, Ontologies, Requirements Engineering, Advanced Conceptual Modeling, Semantic Annotations and Business Process Management. The topics include: Improving the correctness of some database research using ORA-semantics; a conceptual modeling framework for business analytics; translating Bayesian networks into entity relationship models; key performance indicator elicitation and selection through conceptual modelling; an ontological approach for identifying software variants; the role of ontology design patterns in linked data projects; bridging the it and OT worlds using an extensible modeling language; possibilistic cardinality constraints and functional dependencies; exploring views for goal-oriented requirements comprehension; keys with probabilistic intervals; on referring expressions in information systems derived from conceptual modelling; multi-level modeling with most general instances; pragmatic quality assessment for automatically extracted data; achieving system-wide constraint representations; an efficient and simple graph model for scientific article cold start recommendation; keyword queries over the deep web; probabilistic evaluation of process model matching techniques; context-aware workflow execution engine for e contract enactment; annotating and mining for effects of processes; detecting drift from event streams of unpredictable business processes; modeling structured and unstructured processes; an holistic approach for research modeling; comparison and synergy between fact-orientation and relation extraction for domain model generation in regulatory compliance; development of a modeling language for capability driven development; applying conceptual modeling to better understand the human genome and stepwise refinement of software development problem analysis.
8	The proceedings contain 13 papers. The special focus in this conference is on Business Process Management. The topics include: From openness to change to patients’ satisfaction: A business process management approach; process performance measurement system characteristics: An empirically validated framework; quasi-inconsistency in declarative process models; decision support for declarative artifact-centric process models; optimized resource allocations in business process models; predicting critical behaviors in business process executions: When evidence counts; counterfactual reasoning for process optimization using structural causal models; a java-based framework for case management applications; earth movers’ stochastic conformance checking; discovering automatable routines from user interaction logs; preface.
9	The proceedings contain 17 papers. The special focus in this conference is on Perspectives in Business Informatics Research. The topics include: Deriving Key Performance Indicators from Business Process Model; the Unexpected Benefits of Paying for Information: The Effects of Payment on Information Source Choices and Epistemic Thinking; the Snippets Taxonomy in Web Search Engines; model-Driven Context Configuration in Business Process Management Systems: An Approach Based on Knowledge Graphs; can I Help You? – The Acceptance of Intelligent Personal Assistants; understanding the Habits: Inertia in Flipped Classroom; patient Acceptance of Health Cards and Health Insurance Information Systems; comparison of Different Requirements for Digital Workplace Health Promotion; blockchain Awareness Among Computer Science Students: A Preliminary Study; researching Participatory Modeling Sessions: An Experimental Study on the Influence of Evaluation Potential and the Opportunity to Draw Oneself; automated Formal Verification of Model Transformations Using the Invariants Mechanism; multi-criteria Ranking Based on Joint Distributions: A Tool to Support Decision Making; towards Ecosystemic Stance in Finnish Public Sector Enterprise Architecture; data Mining Methodologies in the Banking Domain: A Systematic Literature Review; multi-component Infrastructure for e-Lectures: A Viable Solution for Small and Medium-Sized Organizations.
