item,count,f
"none available",225,29.72
"Dumas, 2018, 10.1007/978-3-662-56509-4",8,1.06
"Gordijn, 2002, 10.1109/5254.941353",3,0.40
"Hepp, 2005, 10.1109/icebe.2005.110",3,0.40
"Papazoglou, 2007, 10.1007/s00778-007-0044-3",3,0.40
"Bann, 2004, 10.1007/s00464-003-9043-7",2,0.26
"Barone, 2011, 10.1007/978-3-642-24849-8_7",2,0.26
"Beretta, 2002, 10.1108/14637150210428961",2,0.26
"Bourne, 2005, 10.1504/ijbpm.2003.002097",2,0.26
"Castellanos, 2005, 10.1109/icde.2005.73",2,0.26
"Chaudhuri, 2005, 10.1145/248603.248616",2,0.26
"Chen, 2011, 10.1109/srii.2011.12",2,0.26
"Clough, 2007, 10.3115/1073083.1073110",2,0.26
"Darmani, 2013, 10.1108/bpmj-08-2011-0052",2,0.26
"Fischer, 2020, 10.1016/j.im.2019.103262",2,0.26
"Franco‐Santos, 2007, 10.1108/01443570710763778",2,0.26
"Gourova, 2014, 10.1145/2602928.2603077",2,0.26
"Hochreiter, 2006, 10.1162/neco.1997.9.8.1735",2,0.26
"Koetter, 2012, 10.1007/978-3-642-30359-3_7",2,0.26
"Li, 2017, 10.1007/978-3-319-59336-4_4",2,0.26
"Neely, 2002, 10.1108/01443579510083622",2,0.26
"Shang, 2011, 10.1016/j.im.2011.01.005",2,0.26
"Shen, 2011, 10.1007/s13198-011-0051-z",2,0.26
"Stefanelli, 2018, 10.1055/s-0038-1633911",2,0.26
"Teece, 2007, 10.1002/smj.640",2,0.26
"Tibshirani, 2003, 10.1111/1467-9868.00293",2,0.26
"Adam, 2002, 10.1108/01443579710171190",1,0.13
"Adler, 2019, 10.5694/j.1326-5377.2009.tb02256.x",1,0.13
"Agarwal, 2015, 10.1145/2783258.2788614",1,0.13
"Aguilar-Savén, 2003, 10.1016/s0925-5273(03)00102-6",1,0.13
"Aguirre, 2009, 10.1109/wsc.2008.4736273",1,0.13
"Aguirre, 2017, 10.1007/978-3-319-66963-2_7",1,0.13
"Aha, 2004, 10.1007/bf00153759",1,0.13
"AhmadBeygi, 2008, 10.1016/j.jairtraman.2008.04.010",1,0.13
"Ahmed, 2015, 10.1016/j.future.2015.01.001",1,0.13
"Akman, 2009, 10.1109/seaa.2009.87",1,0.13
"Akrivas, 2004, 10.1109/tsmca.2003.819498",1,0.13
"Al Marzouqi, 2016, 10.2118/183421-ms",1,0.13
"Al Marzouqi, 2018, 10.2118/192881-ms",1,0.13
