item,count,f
"Nan",19,2.51
"Ghannouchi S.A.",8,1.06
"Del-Río-ortega A.",6,0.79
"Resinas M.",6,0.79
"Ruiz-Cortés A.",6,0.79
"Felden C.",5,0.66
"Leymann FRANK",5,0.66
"Pidun T.",5,0.66
"Röglinger MAXIMILIAN",5,0.66
"Amyot D.",4,0.53
"Becker JÖRG",4,0.53
"Gohar S.R.",4,0.53
"Indulska M.",4,0.53
"Leymann F.",4,0.53
"Matzner M.",4,0.53
"Mendling J.",4,0.53
"Ren CHANGRUI",4,0.53
"Satyal S.",4,0.53
"Song M.",4,0.53
"Weber I.",4,0.53
"Bandara W.",3,0.40
"Bandara WASANA",3,0.40
"Cabanillas C.",3,0.40
"Carroll N.",3,0.40
"Ding HONGWEI",3,0.40
"Djedović A.",3,0.40
"Dong JIN",3,0.40
"Dumas MARLON",3,0.40
"Felden CARSTEN",3,0.40
"Janiesch CHRISTIAN",3,0.40
"Karabegović A.",3,0.40
"Leemans Sander J. J.",3,0.40
"Matzner MARTIN",3,0.40
"Mohan R.",3,0.40
"Paik H.-Y.",3,0.40
"Pautasso CESARE",3,0.40
"Pidun TIM",3,0.40
"Quiroz-Flores Juan CARLOS",3,0.40
"Schiefer J.",3,0.40
"Van Den heuvel WILLEM-JAN",3,0.40
"Van Looy AMY",3,0.40
"Wang WEI",3,0.40
"Weinzierl S.",3,0.40
"Wynn Moe T.",3,0.40
"Zilker S.",3,0.40
"Žunić E.",3,0.40
"Abdou M.",2,0.26
"Abeygunasekera A.W.J.C.",2,0.26
"Adams M.",2,0.26
"Ahlemann F.",2,0.26
"Ali M.",2,0.26
"Amor Emna ammar El HADJ",2,0.26
"April JAY",2,0.26
"Azadeh A.",2,0.26
"Barba I.",2,0.26
"Bazoun HASSAN",2,0.26
"Baïna KARIM",2,0.26
"Benjamin Perakath C.",2,0.26
"Bork DOMINIK",2,0.26
"Boye HADRIEN",2,0.26
"Bratanis KONSTANTINOS",2,0.26
"Calabrese A.",2,0.26
"Calabro A.",2,0.26
"Cardoso E.C.S.",2,0.26
"Casati FABIO",2,0.26
"Ceravolo PAOLO",2,0.26
"Chowdhary P.",2,0.26
"Cimino Mario g. c. A.",2,0.26
"Comuzzi MARCO",2,0.26
"Daily S.",2,0.26
"Di Ciccio C.",2,0.26
"Diamantini CLAUDIA",2,0.26
"Dikun M.",2,0.26
"Doster B.",2,0.26
"Dragomirova MILA",2,0.26
"Dranidis DIMITRIS",2,0.26
"Ducq YVES",2,0.26
"Dunzer S.",2,0.26
"Durán A.",2,0.26
"Eckert JULIAN",2,0.26
"Ehm HANS",2,0.26
"El Hadj amor E.A.",2,0.26
"Elhadjamor E.A.",2,0.26
"Ensslin L.",2,0.26
"Er M.",2,0.26
"Escorcia A.",2,0.26
"Fantinato M.",2,0.26
"Folino F.",2,0.26
"Folino FRANCESCO",2,0.26
"Franco-Santos M.",2,0.26
"Gan Boon PING",2,0.26
"Gantayat NEELAMADHAV",2,0.26
"Ghannouchi Sonia AYACHI",2,0.26
"Ghasemi M.",2,0.26
"Ghosh SAMBIT",2,0.26
"Gourova ELISSAVETA",2,0.26
"Guarascio M.",2,0.26
"Han K.H.",2,0.26
"Han Kwan HEE",2,0.26
"Hess THOMAS",2,0.26
"Hofstede Arthur h. m. TER",2,0.26
"Hu L.",2,0.26
"Hu M.",2,0.26
"Huemer C.",2,0.26
"Jain Hemant K.",2,0.26
"Janiesch C.",2,0.26
"Kang J.G.",2,0.26
"Kang Jin GU",2,0.26
"Karagiannis DIMITRIS",2,0.26
"Karastoyanova DIMKA",2,0.26
"Khan M.N.",2,0.26
"Kiran G. naga VENKATA",2,0.26
"Kluth M.",2,0.26
"Kochanowski M.",2,0.26
"Koetter F.",2,0.26
"Kohlbacher M.",2,0.26
"Lamghari Z.",2,0.26
"Lamine ELYES",2,0.26
"Lehnert M.",2,0.26
"Lendermann PETER",2,0.26
"Lewis C.",2,0.26
"Leyer MICHAEL",2,0.26
"Lonetti F.",2,0.26
"Longo L.",2,0.26
"Loos P.",2,0.26
"Loos PETER",2,0.26
"Louati A.",2,0.26
"Maggi Fabrizio MARIA",2,0.26
"Majeed B.",2,0.26
"Marchetti E.",2,0.26
"Marconi ANNAPAOLA",2,0.26
"Marr B.",2,0.26
"Martinho R.",2,0.26
"Mathirajan M.",2,0.26
"Mejri A.",2,0.26
"Mendes T.",2,0.26
"Mendling JAN",2,0.26
"Misic M.",2,0.26
"Müller OLIVER",2,0.26
"Neely A.",2,0.26
"Nurkasanah I.",2,0.26
"Paiano ROBERTO",2,0.26
"Pepino ALESSANDRO",2,0.26
"Peyton LIAM",2,0.26
"Pingaud HERVÉ",2,0.26
"Pontieri L.",2,0.26
"Pontieri LUIGI",2,0.26
"Potena DOMENICO",2,0.26
"Pourshahid A.",2,0.26
"Pufahl LUISE",2,0.26
"Raahemi BIJAN",2,0.26
"Radgui M.",2,0.26
"Rahmani M.D.",2,0.26
"Ratusny MARCO",2,0.26
"Recker JAN",2,0.26
"Repp NICOLAS",2,0.26
"Richardson I.",2,0.26
"Rosa Marcello LA",2,0.26
"Rosemann M.",2,0.26
"Rosemann MICHAEL",2,0.26
"Rozinat A.",2,0.26
"Ryan J.",2,0.26
"Röglinger M.",2,0.26
"Saha AVIRUP",2,0.26
"Sahli A.",2,0.26
"Saidi R.",2,0.26
"Santoro Flavia MARIA",2,0.26
"Santorum MARCO",2,0.26
"Santos S.",2,0.26
"Saputelli L.",2,0.26
"Schiefer JOSEF",2,0.26
"Schulte STEFAN",2,0.26
"Seidel S.",2,0.26
"Sepúlveda M.",2,0.26
"Shahzad K.",2,0.26
"Sindhgatta RENUKA",2,0.26
"Smolnik S.",2,0.26
