item,count,f
"BUSINESS",301,39.76
"PROCESS",294,38.84
"MANAGEMENT",176,23.25
"PERFORMANCE",151,19.95
"PROCESSES",76,10.04
"ANALYSIS",58,7.66
"FRAMEWORK",55,7.27
"MODEL",55,7.27
"USING",49,6.47
"APPROACH",47,6.21
"STUDY",47,6.21
"SYSTEMS",44,5.81
"CASE",43,5.68
"SERVICE",41,5.42
"MONITORING",40,5.28
"MINING",39,5.15
"MEASUREMENT",38,5.02
"INDICATORS",37,4.89
"SIMULATION",37,4.89
"SYSTEM",36,4.76
"MODELING",34,4.49
"BASED",32,4.23
"BPM",32,4.23
"SUPPLY",32,4.23
"DATA",30,3.96
"TOWARDS",30,3.96
"CHAIN",29,3.83
"IMPROVEMENT",29,3.83
"THROUGH",28,3.70
"ENTERPRISE",26,3.43
"INFORMATION",26,3.43
"REVIEW",26,3.43
"APPLICATION",25,3.30
"RESEARCH",25,3.30
"LITERATURE",24,3.17
"DESIGN",23,3.04
"INTELLIGENCE",23,3.04
"INTEGRATED",22,2.91
"INDUSTRY",21,2.77
"KEY",21,2.77
"EVALUATION",20,2.64
"MODELS",20,2.64
"IMPROVING",19,2.51
"SUPPORT",19,2.51
"SYSTEMATIC",18,2.38
"DIGITAL",17,2.25
"OPTIMIZATION",17,2.25
"APPLICATIONS",16,2.11
"WORKFLOW",16,2.11
"CHALLENGES",15,1.98
"DECISION",15,1.98
"IMPACT",15,1.98
"NETWORKS",15,1.98
"SEMANTIC",15,1.98
"CONFERENCE",14,1.85
"HEALTHCARE",14,1.85
"METHOD",14,1.85
"TOOL",14,1.85
"ANALYTICS",13,1.72
"ARCHITECTURE",13,1.72
"INTERNATIONAL",13,1.72
"LEARNING",13,1.72
"MANUFACTURING",13,1.72
"ORGANIZATIONS",13,1.72
"PREDICTION",13,1.72
"SOFTWARE",13,1.72
"STRATEGIC",13,1.72
"TECHNIQUES",13,1.72
"ALIGNMENT",12,1.59
"DEVELOPMENT",12,1.59
"EVALUATING",12,1.59
"EVENT",12,1.59
"MEASURING",12,1.59
"METHODOLOGY",12,1.59
"MODELLING",12,1.59
"NETWORK",12,1.59
"SECTOR",12,1.59
"COLLABORATIVE",11,1.45
"ENGINEERING",11,1.45
"KNOWLEDGE",11,1.45
"PROCESSING",11,1.45
"QUALITY",11,1.45
"ROLE",11,1.45
"SERVICES",11,1.45
"TRANSFORMATION",11,1.45
"ANALYZING",10,1.32
"ASSESSMENT",10,1.32
"DEVELOPING",10,1.32
"FACTORS",10,1.32
"IMPLEMENTATION",10,1.32
"IMPROVE",10,1.32
"LEAN",10,1.32
"OPERATIONS",10,1.32
"PERSPECTIVE",10,1.32
"PREDICTIVE",10,1.32
"STRATEGY",10,1.32
"SURVEY",10,1.32
"APPROACHES",9,1.19
"AUTOMATION",9,1.19
"CLOUD",9,1.19
"COMPANIES",9,1.19
"DYNAMIC",9,1.19
"INTEGRATION",9,1.19
"PROJECT",9,1.19
"REQUIREMENTS",9,1.19
"RISK",9,1.19
"SUCCESS",9,1.19
"SUSTAINABILITY",9,1.19
"USE",9,1.19
"WEB",9,1.19
"AUTOMATED",8,1.06
"BEST",8,1.06
"COMPLEX",8,1.06
"DATA-DRIVEN",8,1.06
"ENVIRONMENT",8,1.06
"ISSUES",8,1.06
"OPERATIONAL",8,1.06
"OVERVIEW",8,1.06
"PATTERNS",8,1.06
"PLANNING",8,1.06
"TIME",8,1.06
"VIRTUAL",8,1.06
"–",8,1.06
"BPMN",7,0.92
"CARE",7,0.92
"CHAINS",7,0.92
"CHANGE",7,0.92
"COMPUTING",7,0.92
"CONTEXT",7,0.92
"EFFICIENCY",7,0.92
"ENHANCING",7,0.92
"FINANCIAL",7,0.92
"GOAL-ORIENTED",7,0.92
"GREEN",7,0.92
"MATURITY",7,0.92
"MODEL-DRIVEN",7,0.92
"NOVEL",7,0.92
"ORGANIZATIONAL",7,0.92
"PROCESS-ORIENTED",7,0.92
"REENGINEERING",7,0.92
"SELECTION",7,0.92
"SERVICE-ORIENTED",7,0.92
"SMART",7,0.92
"SMES",7,0.92
"VALUE",7,0.92
"ACCOUNTING",6,0.79
"ACTIVITY",6,0.79
"BIG",6,0.79
"BUILDING",6,0.79
"CLINICAL",6,0.79
"COMPOSITION",6,0.79
"CONTROL",6,0.79
"DEPARTMENT",6,0.79
"DISCOVERY",6,0.79
"EDUCATION",6,0.79
"ENVIRONMENTS",6,0.79
"FUTURE",6,0.79
"MACHINE",6,0.79
"MANAGING",6,0.79
"METHODS",6,0.79
"METRICS",6,0.79
"OPPORTUNITIES",6,0.79
"OPTIMIZING",6,0.79
"PRACTICE",6,0.79
"PRODUCTION",6,0.79
"PROJECTS",6,0.79
"PUBLIC",6,0.79
"REFERENCE",6,0.79
"SCHEDULING",6,0.79
"SERVICE-BASED",6,0.79
"SOCIAL",6,0.79
"TOWARD",6,0.79
"40",5,0.66
"ACHIEVING",5,0.66
"ADAPTATION",5,0.66
"ALGORITHMS",5,0.66
"APPLYING",5,0.66
"ARCHITECTURES",5,0.66
"AUTOMOTIVE",5,0.66
"BATCH",5,0.66
"BENCHMARKING",5,0.66
"CAPABILITIES",5,0.66
"COMPANY",5,0.66
"COMPREHENSIVE",5,0.66
"CONCEPTUAL",5,0.66
"CUSTOMER",5,0.66
"CYCLE",5,0.66
"DECISIONS",5,0.66
"DEEP",5,0.66
"EMPIRICAL",5,0.66
"ENHANCE",5,0.66
"EVENTS",5,0.66
"EXECUTION",5,0.66
"FIRM",5,0.66
"FUZZY",5,0.66
"GOVERNANCE",5,0.66
"HOSPITAL",5,0.66
"INDUSTRIAL",5,0.66
"INTELLIGENT",5,0.66
"KPI",5,0.66
"LANGUAGE",5,0.66
"LOGISTICS",5,0.66
"LOGS",5,0.66
"MAINTENANCE",5,0.66
"MEASURES",5,0.66
"NEW",5,0.66
"NEXT",5,0.66
"NOTATION",5,0.66
"ONTOLOGY-BASED",5,0.66
"ORGANIZATION",5,0.66
"PRACTICES",5,0.66
"PROPOSAL",5,0.66
"REAL-TIME",5,0.66
"RESOURCE",5,0.66
"RULES",5,0.66
"SELECTING",5,0.66
"TECHNOLOGIES",5,0.66
"TECHNOLOGY",5,0.66
"THEORY",5,0.66
"UNIVERSITY",5,0.66
"USER",5,0.66
"VIA",5,0.66
"2010",4,0.53
"ADAPTIVE",4,0.53
"ADOPTION",4,0.53
"APPLIED",4,0.53
"ASSESSING",4,0.53
"BISE",4,0.53
"CHANGES",4,0.53
"CLASSIFICATION",4,0.53
"COMPARISON",4,0.53
"CONSTRUCTION",4,0.53
"CRITICAL",4,0.53
"DEFINING",4,0.53
"DESIGNING",4,0.53
"DIGITALIZATION",4,0.53
"DISTRIBUTED",4,0.53
"EFFECT",4,0.53
"EFFECTS",4,0.53
"ELECTRONIC",4,0.53
"ENTERPRISES",4,0.53
"ERP",4,0.53
"EXPLORATORY",4,0.53
"EXTENDED",4,0.53
"FIELD",4,0.53
"FIRMS",4,0.53
"FLEXIBILITY",4,0.53
"FORECASTING",4,0.53
"GLOBAL",4,0.53
"HOSPITALS",4,0.53
"IMPLICATIONS",4,0.53
"INDICATOR",4,0.53
"INNOVATION",4,0.53
"INSIGHTS",4,0.53
"INTER-ORGANIZATIONAL",4,0.53
"INTERNET",4,0.53
"KPIS",4,0.53
"LIFE",4,0.53
"MATCHING",4,0.53
"MOBILE",4,0.53
"OIL",4,0.53
"OPEN",4,0.53
"OPERATION",4,0.53
"ORGANISATIONS",4,0.53
"ORIENTATION",4,0.53
"ORIENTED",4,0.53
"PLATFORM",4,0.53
"PRELIMINARY",4,0.53
"PRIORITIZATION",4,0.53
"RE-ENGINEERING",4,0.53
"REDESIGN",4,0.53
"RESERVOIR",4,0.53
"RESOURCES",4,0.53
"SOA",4,0.53
"STRATEGIES",4,0.53
"THINGS",4,0.53
"TOOLS",4,0.53
"TRAINING",4,0.53
"TWO",4,0.53
"WORKFLOWS",4,0.53
"2009",3,0.40
"2011",3,0.40
"2016",3,0.40
"2019",3,0.40
"ACHIEVE",3,0.40
"ACQUISITION",3,0.40
"ACTIVITIES",3,0.40
"ADVANCED",3,0.40
"AGENT-BASED",3,0.40
"AGILE",3,0.40
"ALGORITHM",3,0.40
"ALLOCATION",3,0.40
"ARCHITECTURAL",3,0.40
"ARTICLES",3,0.40
"AUTOMATIC",3,0.40
"BENEFITS",3,0.40
"BEYOND",3,0.40
"CAPABILITY",3,0.40
"CAPACITY",3,0.40
"CENTER",3,0.40
"CO-LOCATED",3,0.40
"COLLABORATION",3,0.40
"COMPARATIVE",3,0.40
"COMPLIANCE",3,0.40
"CONCEPTS",3,0.40
"CONCEPTUALIZATION",3,0.40
"CROATIAN",3,0.40
"CROSS",3,0.40
"CROSS-LAYER",3,0.40
"DATABASE",3,0.40
"DELIVERY",3,0.40
"DELPHI",3,0.40
"DETECTION",3,0.40
"DIFFERENT",3,0.40
"DISCRETE",3,0.40
"DYNAMICS",3,0.40
"E-GOVERNMENT",3,0.40
"EFFECTIVE",3,0.40
"EMERGENCY",3,0.40
"END-TO-END",3,0.40
"ENERGY",3,0.40
"ENVIRONMENTAL",3,0.40
"EVOLUTION",3,0.40
"EVOLUTIONARY",3,0.40
"EXCELLENCE",3,0.40
"EXISTING",3,0.40
"EXPERIENCE",3,0.40
"EXPERTS",3,0.40
"EXPLORATION",3,0.40
"EXPLORING",3,0.40
"FACTORY",3,0.40
"FEATURES",3,0.40
"GAS",3,0.40
"GENERATION",3,0.40
"GOALS",3,0.40
"HEALTH",3,0.40
"HUMAN",3,0.40
"HYBRID",3,0.40
"IMPACTS",3,0.40
"IMPLEMENTING",3,0.40
"INCREASE",3,0.40
"INFLUENCE",3,0.40
"INSTANCE",3,0.40
"INTEGRATING",3,0.40
"INTRODUCTION",3,0.40
"IOT",3,0.40
"LEVEL",3,0.40
"LIFECYCLE",3,0.40
"LINE",3,0.40
"MAJOR",3,0.40
"MAKING",3,0.40
"MANAGE",3,0.40
"MODERN",3,0.40
"NEURAL",3,0.40
"OFFICE",3,0.40
"OPTIMAL",3,0.40
"OUTCOMES",3,0.40
"OVER",3,0.40
"PERFORMANCES",3,0.40
"PERSPECTIVES",3,0.40
"PETRI",3,0.40
"PORTFOLIO",3,0.40
"PREDICTING",3,0.40
"PRESCRIPTIVE",3,0.40
"PRIVACY",3,0.40
"PROACTIVE",3,0.40
"PROCEEDINGS",3,0.40
"PROCESS-BASED",3,0.40
"PRODUCTIVITY",3,0.40
"PUBLISHED",3,0.40
"QUALITATIVE",3,0.40
"REDUCE",3,0.40
"RELATIONSHIP",3,0.40
"RESILIENCE",3,0.40
"RESULTS",3,0.40
"ROBOTIC",3,0.40
"S-BPM",3,0.40
"SCIENCE",3,0.40
"SEQUENTIAL",3,0.40
"SET",3,0.40
"SHIPPING",3,0.40
"SIMULATION-BASED",3,0.40
"SOLUTIONS",3,0.40
"SOURCE",3,0.40
"SUITE",3,0.40
"TEACHING",3,0.40
"TECHNIQUE",3,0.40
"TRACK",3,0.40
"TRACKING",3,0.40
"TWO-STAGE",3,0.40
"VIEW",3,0.40
"VISIBILITY",3,0.40
"WAREHOUSE",3,0.40
"WITHIN",3,0.40
"1",2,0.26
"17TH",2,0.26
"20",2,0.26
"2023",2,0.26
"21ST",2,0.26
"3RD",2,0.26
"5",2,0.26
"AB",2,0.26
"AB-BPM",2,0.26
"ABSTRACT",2,0.26
"ACTIONS",2,0.26
"ADDRESSING",2,0.26
"ADMINISTRATION",2,0.26
"ADMINISTRATIVE",2,0.26
"ADVANCES",2,0.26
"ADVANTAGE",2,0.26
"AGAINST",2,0.26
"AGENDA",2,0.26
"AGENTS",2,0.26
"AGILITY",2,0.26
"AGREEMENTS",2,0.26
"AMERICAN",2,0.26
"ANALYSES",2,0.26
"ANNOTATED",2,0.26
"ARTIFACTS",2,0.26
"ARTIFICIAL",2,0.26
"AUDITING",2,0.26
"AUSTRALIAN",2,0.26
"AUTONOMOUS",2,0.26
"AVIATION",2,0.26
"AWARD",2,0.26
"BALANCED",2,0.26
"BANKING",2,0.26
"BASE",2,0.26
"BENCHMARK",2,0.26
"BIBLIOGRAPHY",2,0.26
"BPI",2,0.26
"BPMN-BASED",2,0.26
"BRAZILIAN",2,0.26
"CALCULATION",2,0.26
"CASES",2,0.26
"CATALOG",2,0.26
"CENTRE",2,0.26
"CHALLENGE",2,0.26
"CLOUDS",2,0.26
"COLLECTION",2,0.26
"COMBINED",2,0.26
"COMBINING",2,0.26
"COMPETITIVE",2,0.26
"COMPUTATION",2,0.26
"CONCEPT",2,0.26
"CONFORMANCE",2,0.26
"CONSORTIUM",2,0.26
"CONSTRAINTS",2,0.26
"CONSTRUCTIVIST",2,0.26
"CONTENT-BASED",2,0.26
"CONTINUOUS",2,0.26
"CONVERGENCE",2,0.26
"COORDINATION",2,0.26
"CORPORATE",2,0.26
"COSTS",2,0.26
"COUNTRIES",2,0.26
"CREATION",2,0.26
"DASHBOARD",2,0.26
"DATA-CENTRIC",2,0.26
"DECISION-MAKING",2,0.26
"DEFINE",2,0.26
"DEFINITION",2,0.26
"DEMONSTRATION",2,0.26
"DEPLOYMENT",2,0.26
"DERIVING",2,0.26
"DETECTING",2,0.26
"DETERMINING",2,0.26
"DEVS",2,0.26
"DIMENSIONS",2,0.26
"DIRECTIONS",2,0.26
"DISCUSSION",2,0.26
"DISPATCHING",2,0.26
"DISSERTATION",2,0.26
"DOCTORAL",2,0.26
"DOMAIN",2,0.26
"DRIVEN",2,0.26
"DRIVES",2,0.26
"E-BUSINESS",2,0.26
"EFFECTIVENESS",2,0.26
"EFFICIENT",2,0.26
"EMERGING",2,0.26
"EMPIRICALLY",2,0.26
"EMPOWERING",2,0.26
"ENCODING",2,0.26
"EVENT-DRIVEN",2,0.26
"EXAMPLE",2,0.26
"EXCHANGE",2,0.26
"EXPERIMENTAL",2,0.26
"EXPERIMENTS",2,0.26
"EXTENDING",2,0.26
"EXTRACTION",2,0.26
"FACTOR",2,0.26
"FACTORIES",2,0.26
"FINANCE",2,0.26
"FINDING",2,0.26
"FIT",2,0.26
"FORMAL",2,0.26
"FOUNDATIONS",2,0.26
"FRAME",2,0.26
"FRAMEWORKS",2,0.26
"FUNCTIONAL",2,0.26
"GAP",2,0.26
"GOOD",2,0.26
"GROUNDED",2,0.26
"GUIDELINE",2,0.26
"GUIDELINES",2,0.26
"HEURISTICS",2,0.26
"HIERARCHICAL",2,0.26
"HIGHER",2,0.26
"HIGHWAY",2,0.26
"HISTORY",2,0.26
"HOLISTIC",2,0.26
"HOSPITALITY",2,0.26
"HUMANITARIAN",2,0.26
"ICT",2,0.26
"IDENTIFICATION",2,0.26
"IFIP",2,0.26
"IMPORTANCE",2,0.26
"INCIDENT",2,0.26
"INDIA",2,0.26
"INNOVATIVE",2,0.26
"INSTANCES",2,0.26
"INTEGRATIVE",2,0.26
"INTERACTION",2,0.26
"INTERACTIVE",2,0.26
"INTRODUCING",2,0.26
"INVESTIGATING",2,0.26
"INVESTIGATION",2,0.26
"KNOWLEDGE-INTENSIVE",2,0.26
"KPI-BASED",2,0.26
"LARGE",2,0.26
"LESSONS",2,0.26
"LEVELS",2,0.26
"LOAN",2,0.26
"LONG",2,0.26
"MAPPING",2,0.26
"MATTER",2,0.26
"MEASURE",2,0.26
"MEDICAL",2,0.26
"META-MODELING",2,0.26
"METHODOLOGIES",2,0.26
"MODEL-BASED",2,0.26
"MONITOR",2,0.26
"MORE",2,0.26
"MOTIVATION",2,0.26
"MULTIPLE",2,0.26
"MUNICIPAL",2,0.26
"NATURAL",2,0.26
"NESTED",2,0.26
"NET",2,0.26
"NETS",2,0.26
"NO-CODE",2,0.26
"NON-FINANCIAL",2,0.26
"NORTH",2,0.26
"OBJECTIVES",2,0.26
"ONTOLOGY",2,0.26
"OPTIMISATION",2,0.26
"OPTIMIZED",2,0.26
"ORDER",2,0.26
"OUTPATIENT",2,0.26
"PAPERS",2,0.26
"PARALLEL",2,0.26
"PATHWAYS",2,0.26
"PATIENT",2,0.26
"PATTERN-BASED",2,0.26
"PERCEIVED",2,0.26
"PERIOPERATIVE",2,0.26
