Document type;Authors;Title;Source;Full journal;Publication year;Volume;Issue;Pages;Folders filed in;Publisher;Date published;ISSN;ISSN (alt.);URLs;DOI;Abstract;Keywords
Journal Article;Caruso S,Bruccoleri M,Pietrosi A,Scaccianoce A;Artificial intelligence to counteract “KPI overload” in business process monitoring: the case of anti-corruption in public organizations;Bus. Proc.management J.;Business process management journal;2023;29;4;1227-1248;"mestrado/added;mestrado;mestrado/with pdf";Emerald;2023-06-05;1463-7154;1758-4116;http://dx.doi.org/10.1108/bpmj-11-2022-0578;10.1108/bpmj-11-2022-0578;"PurposeThe nature and amount of data that public organizations have to monitor to counteract corruption lead to a phenomenon called “KPI overload”, consisting of the business analyst feeling overwhelmed by the amount of information and resulting in the absence of appropriate control. The purpose of this study is to develop a solution based on Artificial Intelligence technology to avoid data overloading and, at the same time, under-controlling in business process monitoring.Design/methodology/approachThe authors adopted a design science research approach. The authors started by observing a specific problem in a real context (a healthcare organization); then conceptualized, designed and implemented a solution to the problem with the goal to develop knowledge that can be used to design solutions for similar problems. The proposed solution for business process monitoring integrates databases and self-service business intelligence for outlier detection and artificial intelligence for classification analysis.FindingsThe authors found the solution powerful to solve problems related to KPI overload in process monitoring. In the specific case study, the authors found that the combination of Business Intelligence and Artificial Intelligence can provide a significant contribution to the detection of fraud, corruption and/or policy misalignment in public organizations.Originality/valueThe authors provide a big-data-based solution to the problem of data overload in business process monitoring that does not sacrifice any monitored Key Performance Indicators and that also reduces the workload of the business analyst. The authors also developed and implemented this automated solution in a context where data sensitivity and privacy are critical issues.";
Journal Article;Zo H,Nazareth DL,Jain HK;Service-oriented Application Composition with Evolutionary Heuristics and Multiple Criteria;ACM Trans. Manage. Inf. Syst.;;2019;;;;"References;mestrado;mestrado/with pdf";;2019;;;http://dx.doi.org/10.1145/3354288;10.1145/3354288;The need to create and deploy business application systems rapidly has sparked interest in using web services to compose them. When creating mission-critical business applications through web service compositions, in addition to ensuring that functional requirements are met, designers need to consider the end-to-end reliability, security, performance, and overall cost of the application. As the number of available coarse-grain business services grows, the problem of selecting appropriate services quickly becomes combinatorially explosive for realistic-sized business applications. This article develops a business-process-driven approach for composing service-oriented applications. We use a combination of weights to explore the entire QoS criteria landscape through the use of a multi-criteria genetic algorithm (GA) to identify a Pareto-optimal multidimensional frontier that permits managers to trade off conflicting objectives when selecting a set of services. We illustrate the effectiveness of the approach by applying it to a real-world drop-ship business application and compare its performance to another GA-based approach for service composition.;
Book;Zinina O,Dalisova N,Olentsova J;The importance of strategic analysis for agricultural holdings in the innovative development of the agricultural sector;;;2021;;;;"References;mestrado;mestrado/with pdf";;2021;;;http://dx.doi.org/10.1145/3444465.3444480;10.1145/3444465.3444480;Achieving macroeconomic stability and sustainable economic growth in Russia is directly dependent on the efficiency of economic activities and strategic stability of individual enterprises. At the same time, the rapid development and variability of the external business environment and the conditions of severe market competition require modern progressive approaches to management and its information and analytical support, which make it possible to make high-quality strategic management decisions. Based on it, the analysis of economic activity, which is the basis for justifying economic decisions, has a strategic orientation.The task of strategic analysis of the market environment for agricultural enterprises is to provide a meaningful and formal description of the main market elements, identify their features, patterns and trends of development, and the degree of influence on the activities of the manufacturer.In our opinion, the strategic analysis of the market environment of agricultural enterprises should first of all determine the main factors that affect the development of the territorial market of food products as a whole. Despite the fact that the market of agricultural and food products in our country is characterized by very intensive development, it is still far from perfect. The purpose of this article is to specify the problem in the cancers of one enterprise and develop a strategic map of the balanced indicators system for an agricultural organization. The main task is to optimize the system of strategic analysis for agricultural enterprises.The novelty of the work is the application of balanced scorecard methods as an element of strategic analysis for managing an agricultural organization.;
Book;Zhu Q,Guo S,Ogilvie P,Liu Y;Business Applications of Predictive Modeling at Scale;;;2016;;;;"References;mestrado;mestrado/with pdf";;2016;;;http://dx.doi.org/10.1145/2939672.2945388;10.1145/2939672.2945388;Predictive modeling is the art of building statistical models that forecast probabilities and trends of future events. It has broad applications in industry across different domains. Some popular examples include user intention predictions, lead scoring, churn analysis, etc. In this tutorial, we will focus on the best practice of predictive modeling in the big data era and its applications in industry, with motivating examples across a range of business tasks and relevance products. We will start with an overview of how predictive modeling helps power and drive various key business use cases. We will introduce the essential concepts and state of the art in building end-to-end predictive modeling solutions, and discuss the challenges, key technologies, and lessons learned from our practice, including case studies of LinkedIn feed relevance and a platform for email response prediction. Moreover, we will discuss some practical solutions of building predictive modeling platform to scale the modeling efforts for data scientists and analysts, along with an overview of popular tools and platforms used across the industry.;
Journal Article;Zhao D,Zhou Z;Anomaly and Interestingness Detection in Timed Hierarchical Business Processes;IEEE Trans. Eng. Manage.;IEEE transactions on engineering management;2024;;;;"References;mestrado;mestrado/with pdf";;2024;0018-9391;1558-0040;http://dx.doi.org/10.1109/TEM.2022.3182413;10.1109/TEM.2022.3182413;Anomaly detection is assumed to be an efficient means of probing cyber-attacks upon business processes, and frequent pattern recognition (referred as interestingness) is complementary to anomaly detection for providing insights about processes. Current studies on anomalies and interestingness focus mostly on measurement design and discovery methods. However, parameterized evaluation from a time dimension has not been well-explored to satisfy personalized demands of edge users. To fill this gap, this article proposes to detect temporal anomalies and interestingness leveraging time-constrained and granularity-aware signatures. Specifically, a Timed Hierarchical Business Process Model (TH-BPM) is constructed by exploiting temporal constraints and granularities thoroughly, and composing activities from fine granularities to coarser ones. Temporal anomalies are estimated with prescribed signatures upon TH-BPM through parameterizing acceptance of deviant executions. Temporal interestingness, as the complement to temporal anomalies, is specified as the most probable execution time that is partitioned into user-defined granules and ranked by the probability leveraging the parameterized signatures. Consequently, various acceptance of anomaly deviations is allowed, and parameterized needs of interestingness detection can be satisfied. Experimental results upon real-life event logs and a real edge network demonstrate that our approach outperforms the state-of-the-art techniques in relevant performance metrics. © 1988-2012 IEEE.;"Parameterized signaturetemporal anomaly; temporal interestingness; timed hierarchical business processes"
Journal Article;Zhang X,Cui L,Shen W,Zeng J,Du L,He H,Cheng L;File processing security detection in multi-cloud environments: a process mining approach;J. Cloud Comput.;Journal of cloud computing;2023;;;;"References;mestrado;mestrado/with pdf";;2023;2326-6538;;http://dx.doi.org/10.1186/s13677-023-00474-y;10.1186/s13677-023-00474-y;Abstract Cloud computing has gained popularity in recent years, but with its rise comes concerns about data security. Unauthorized access and attacks on cloud-based data, applications, and infrastructure are major challenges that must be addressed. While machine learning algorithms have improved intrusion detection systems in cloud data security, they often fail to consider the entire life cycle of file processing, making it difficult to detect certain issues, especially insider attacks. To address these limitations, this paper proposes a novel approach to analyzing data file processing in multi-cloud environments using process mining. By generating a complete file processing event log from a multi-cloud environment, the proposed approach enables detection from both control flow and performance perspectives, providing a deeper understanding of the underlying file processing in its full life cycle. Through our case study, we demonstrate the power and capabilities of process mining for file security detection and showcase its ability to provide further insights into file security in multi-cloud environments.;
Book;Zhang H,Zeng L,Wu W,Zhang C;How good are machine learning clouds for binary classification with good features? extended abstract;;;2017;;;;"References;mestrado;mestrado/with pdf";;2017;;;http://dx.doi.org/10.1145/3127479.3132570;10.1145/3127479.3132570;"In spite of the recent advancement of machine learning research, modern machine learning systems are still far from easy to use, at least from the perspective of business users or even scientists without a computer science background. Recently, there is a trend toward pushing machine learning onto the cloud as a ""service,"" a.k.a. machine learning clouds. By putting a set of machine learning primitives on the cloud, these services significantly raise the level of abstraction for machine learning. For example, with Amazon Machine Learning, users only need to upload the dataset and specify the type of task (classification or regression). The cloud will then train machine learning models without any user intervention.";
Book;Zengin A,Marconi A,Pistore M;CLAM: cross-layer adaptation manager for service-based applications;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1145/2031746.2031754;10.1145/2031746.2031754;The heterogeneous and dynamic execution context of service-based applications (SBA) makes the problem of adaptation critical. However in most cases the adaptation is not trivial due to the following facts. First, SBA has a complex layered system where the application is implemented through a composition of services, which in turn are provided by platforms and run on top of infrastructures. Second, as a result of this multi-level application system there exist several adaptation approaches isolated from each other, which focus on a specific concern of one level ignoring the overall impact of the adaptation on the whole service-based system. To tackle this problem we propose a cross-layer adaptation manager (CLAM) whose contribution is two-fold: (i) It provides a platform that integrates and coordinates existing analysis and adaptation tools, which target specific system concerns, to assess the impact of an adaptation at the different levels. (ii) Covering the whole system for the SBA, it provides an analysis algorithm that incrementally constructs consistent adaptation strategies starting from an initial adaptation trigger originated at any level. The paper introduces the proposed approach and presents its first implementation with concrete analysis and adaptation tools.;
Journal Article;Zeng S,Huang S,Fan Y;Service-Oriented enterprise network performance analysis;Tsinghua Sci. Technol.;Tsinghua science and technology;2009;;;;"References;mestrado;mestrado/with pdf";;2009;1007-0214;1878-7606;http://dx.doi.org/10.1016/S1007-0214(09)70108-7;10.1016/S1007-0214(09)70108-7;The service-oriented architecture (SOA) and the model-driven architecture (M DA) have been recognized as major evolutionary steps in enterprise integration (EI) in service-oriented computing environments. Service-oriented enterprise (SOE) networks (SOEN) are emerging with the significant advances of EI, SOA, and MDA. However, the implementation and optimization of SOEN is still lacking integrated SOA, MDA, and performance analysis and optimization (PAO) methods. This paper introduces an integrated solution of SOA and MDA with a simulation-based three-stage PAO method with stage 1 being an analytic hierarchy process (AHP)-based comprehensive performance calculation for service matching and binding, stage 2 being a simulation-based comprehensive performance evaluation for business process/service composition, and stage 3 being a business process simulation-based performance optimization for SOEN. The SOE architecture, performance analysis framework, performance indicators, and performance operators are discussed. The system uses MDA as the system development philosophy, SOA as the system implementation infrastructure, and the simulation-based PAO methods to analyze and optimize the SOEN performance. A case study of the SOEN illustrates the usage of the integrated solution.;
Book;Zeng L,Lei H,Dikun M,Chang H,Shu C;Dynamic evolution of business performance management;;;2006;;;;"References;mestrado;mestrado/with pdf";;2006;;;http://dx.doi.org/10.1109/ICEBE.2006.43;10.1109/ICEBE.2006.43;Business Performance Management(BPM) is a new frontier in IT-enabled enterprise that supports the monitoring business operations. BPM solutions must be able to efficiently process business events, compute business metrics, detect business situations, and provide the real-time visibility of key performance indicators (KPIs) in dynamic environments, wherein sources of dynamicity are plentiful, including new strategies, operations, KPIs, etc. Therefore, BPM solutions need to adapt these changes by dynamic evolution. We propose a policy-driven approach, where evolution policies capture the evolution mechanism of BPM solutions. This frees solution developers from low-level programming concerns. We implemented a hybrid compilationinterpretation framework that enables execution of wide spectrums of evolution policies. Further, our framework enables execution of evolution policies in parallel with on going event processing and guarantees the integrity on both of them. © 2006 IEEE.;
