citation_item,item_count,frequency
jats,30,1000.00
sec,20,666.67
bpm,18,600.00
accounting,16,533.33
literature,14,466.67
content,10,333.33
directions,8,266.67
detailed,6,200.00
structured,6,200.00
implications,6,200.00
provides,6,200.00
synthesis,6,200.00
practitioners,4,133.33
basis,4,133.33
multidisciplinary,4,133.33
ties,4,133.33
existing,4,133.33
disciplines,4,133.33
address,2,66.67
profile,2,66.67
reap,2,66.67
significant,2,66.67
impact,2,66.67
particularly,2,66.67
benefit,2,66.67
incorporating,2,66.67
concepts,2,66.67
integrated,2,66.67
thematically,2,66.67
challenges,2,66.67
investment,2,66.67
activities,2,66.67
addresses,2,66.67
scarce,2,66.67
purpose,2,66.67
synergetic,2,66.67
describe,2,66.67
manage,2,66.67
nvivo,2,66.67
themes,2,66.67
providing,2,66.67
guide,2,66.67
methodology,2,66.67
multi,2,66.67
staged,2,66.67
approach,2,66.67
search,2,66.67
broad,2,66.67
derive,2,66.67
despite,2,66.67
supported,2,66.67
authors,2,66.67
papers,2,66.67
coding,2,66.67
analysis,2,66.67
processes,2,66.67
designed,2,66.67
dearth,2,66.67
aspects,2,66.67
foundations,2,66.67
creation,2,66.67
relation,2,66.67
relates,2,66.67
knowledge,2,66.67
describing,2,66.67
scattered,2,66.67
particular,2,66.67
measurement,2,66.67
otherwise,2,66.67
applicable,2,66.67
initiatives,2,66.67
tools,2,66.67
activity,2,66.67
costing,2,66.67
balanced,2,66.67
scorecard,2,66.67
lack,2,66.67
improvement,2,66.67
contextual,2,66.67
examines,2,66.67
opportunities,2,66.67
attained,2,66.67
limitations,2,66.67
confirms,2,66.67
perspective,2,66.67
external,2,66.67
reporting,2,66.67
accumulate,2,66.67
proposed,2,66.67
create,2,66.67
mostly,2,66.67
perspectives,2,66.67
findings,2,66.67
reviews,2,66.67
nexus,2,66.67
effective,2,66.67
extension,2,66.67
summarizes,2,66.67
identifying,2,66.67
gaps,2,66.67
none available,1,33.33
