citation_item,item_count,frequency
processes,678,89.56
bpm,508,67.11
approach,390,51.52
analysis,330,43.59
indicators,270,35.67
framework,244,32.23
models,227,29.99
measurement,192,25.36
mining,191,25.23
organizations,179,23.65
proposed,171,22.59
improvement,166,21.93
simulation,165,21.80
modeling,165,21.80
monitoring,163,21.53
evaluation,144,19.02
implementation,141,18.63
method,139,18.36
literature,133,17.57
knowledge,130,17.17
none available,129,17.04
approaches,127,16.78
techniques,126,16.64
application,124,16.38
strategic,124,16.38
organizational,123,16.25
supply,122,16.12
impact,122,16.12
enterprise,121,15.98
methodology,120,15.85
software,117,15.46
execution,115,15.19
kpis,112,14.80
improve,111,14.66
organization,111,14.66
oriented,108,14.27
existing,107,14.13
methods,104,13.74
environment,103,13.61
activities,103,13.61
tools,103,13.61
architecture,100,13.21
requirements,98,12.95
chain,98,12.95
measures,97,12.81
operational,97,12.81
bi,96,12.68
learning,95,12.55
identify,95,12.55
context,92,12.15
propose,91,12.02
customer,89,11.76
challenges,89,11.76
factors,88,11.62
integrated,87,11.49
developed,85,11.23
purpose,85,11.23
goals,85,11.23
applications,82,10.83
automation,81,10.70
efficiency,80,10.57
metrics,79,10.44
presented,79,10.44
strategy,78,10.30
kpi,76,10.04
focus,75,9.91
presents,74,9.78
specific,74,9.78
provides,74,9.78
workflow,73,9.64
tool,73,9.64
critical,72,9.51
cloud,72,9.51
complex,72,9.51
driven,72,9.51
findings,72,9.51
alignment,71,9.38
solutions,70,9.25
evaluate,70,9.25
enterprises,70,9.25
activity,69,9.11
operations,69,9.11
digital,69,9.11
effective,69,9.11
technologies,68,8.98
optimization,67,8.85
practical,67,8.85
resources,67,8.85
aspects,66,8.72
integration,66,8.72
perspective,64,8.45
achieve,63,8.32
processing,63,8.32
solution,63,8.32
multi,61,8.06
applied,61,8.06
intelligence,61,8.06
domain,60,7.93
relevant,60,7.93
healthcare,60,7.93
allows,60,7.93
thus,60,7.93
concept,59,7.79
collaborative,59,7.79
aim,59,7.79
cycle,58,7.66
address,58,7.66
improving,58,7.66
analyze,57,7.53
springer,57,7.53
automated,57,7.53
assessment,56,7.40
authors,56,7.40
network,56,7.40
aims,56,7.40
analytics,56,7.40
concepts,56,7.40
practices,56,7.40
resource,55,7.27
tasks,55,7.27
effectiveness,55,7.27
dynamic,54,7.13
limited,54,7.13
understanding,54,7.13
potential,54,7.13
managers,53,7.00
measure,53,7.00
task,53,7.00
levels,53,7.00
studies,53,7.00
engineering,53,7.00
networks,53,7.00
planning,53,7.00
traditional,52,6.87
sustainability,52,6.87
users,52,6.87
identified,52,6.87
web,51,6.74
systematic,51,6.74
overall,50,6.61
machine,49,6.47
therefore,49,6.47
multiple,49,6.47
technique,49,6.47
maturity,49,6.47
efficient,48,6.34
notation,48,6.34
lack,48,6.34
decisions,48,6.34
modelling,47,6.21
logs,47,6.21
demonstrate,47,6.21
capabilities,47,6.21
benefits,47,6.21
proposes,47,6.21
manufacturing,47,6.21
technical,46,6.08
continuous,46,6.08
monitor,46,6.08
ieee,46,6.08
nature,46,6.08
strategies,46,6.08
conceptual,46,6.08
soa,46,6.08
costs,46,6.08
insights,45,5.94
defined,45,5.94
iot,45,5.94
comprehensive,45,5.94
objectives,45,5.94
significant,45,5.94
virtual,45,5.94
structure,44,5.81
enable,44,5.81
conducted,44,5.81
survey,44,5.81
bpmn,44,5.81
predictive,44,5.81
increasing,43,5.68
sector,43,5.68
infrastructure,43,5.68
semantic,43,5.68
adoption,43,5.68
algorithm,43,5.68
enables,43,5.68
manage,43,5.68
definition,42,5.55
characteristics,42,5.55
complexity,42,5.55
abstract,42,5.55
user,42,5.55
improved,42,5.55
prediction,42,5.55
criteria,42,5.55
algorithms,42,5.55
measuring,42,5.55
implemented,42,5.55
develop,41,5.42
managing,41,5.42
computing,41,5.42
providing,41,5.42
bp,41,5.42
organisations,40,5.28
transformation,40,5.28
opportunities,40,5.28
importance,40,5.28
dimensions,40,5.28
addition,40,5.28
define,40,5.28
objective,40,5.28
flow,40,5.28
challenge,39,5.15
lifecycle,38,5.02
platform,38,5.02
novel,38,5.02
pms,38,5.02
practitioners,38,5.02
discuss,38,5.02
flexibility,38,5.02
structured,38,5.02
projects,38,5.02
applying,38,5.02
necessary,37,4.89
selection,37,4.89
appropriate,37,4.89
governance,37,4.89
successful,37,4.89
competitive,37,4.89
components,37,4.89
implications,37,4.89
particular,37,4.89
individual,37,4.89
accounting,36,4.76
actions,36,4.76
basis,36,4.76
delivery,36,4.76
gap,36,4.76
describe,35,4.62
stakeholders,35,4.62
identification,35,4.62
developing,35,4.62
behavior,35,4.62
describes,35,4.62
researchers,35,4.62
environmental,35,4.62
prototype,35,4.62
focused,34,4.49
moreover,34,4.49
collaboration,34,4.49
improvements,34,4.49
patterns,34,4.49
corporate,34,4.49
bam,33,4.36
implement,33,4.36
instances,33,4.36
orientation,33,4.36
reduce,33,4.36
required,33,4.36
logistics,33,4.36
features,33,4.36
smes,33,4.36
operating,33,4.36
capability,33,4.36
supporting,33,4.36
ppis,33,4.36
implementing,33,4.36
empirical,33,4.36
conditions,33,4.36
scientific,33,4.36
maintenance,33,4.36
crucial,33,4.36
introduce,33,4.36
create,32,4.23
log,32,4.23
compliance,32,4.23
analyzed,32,4.23
publishing,32,4.23
phase,32,4.23
designed,32,4.23
analyzing,32,4.23
initiatives,32,4.23
essential,32,4.23
evaluated,32,4.23
workflows,31,4.10
operation,31,4.10
aware,31,4.10
standards,31,4.10
contribution,31,4.10
papers,31,4.10
elements,31,4.10
copyright,31,4.10
identifying,31,4.10
adaptation,31,4.10
evolution,31,4.10
established,30,3.96
satisfaction,30,3.96
uses,30,3.96
limitations,30,3.96
assess,30,3.96
product,30,3.96
usage,29,3.83
expected,29,3.83
types,29,3.83
businesses,29,3.83
theoretical,29,3.83
reference,29,3.83
discussed,29,3.83
theory,29,3.83
ppm,28,3.70
increased,28,3.70
supports,28,3.70
compared,28,3.70
efforts,28,3.70
emerging,28,3.70
core,28,3.70
highly,28,3.70
qualitative,28,3.70
generated,28,3.70
perspectives,28,3.70
methodologies,28,3.70
standard,28,3.70
regarding,27,3.57
relationships,27,3.57
optimal,27,3.57
suitable,27,3.57
firms,27,3.57
collected,27,3.57
influence,27,3.57
customers,27,3.57
furthermore,27,3.57
selected,27,3.57
ontology,27,3.57
productivity,27,3.57
erp,27,3.57
runtime,27,3.57
despite,27,3.57
tracking,26,3.43
achieved,26,3.43
performed,26,3.43
actual,26,3.43
industrial,26,3.43
redesign,26,3.43
outcomes,26,3.43
determine,26,3.43
innovation,26,3.43
distributed,26,3.43
technological,26,3.43
enabling,26,3.43
validated,25,3.30
facilitate,25,3.30
significantly,25,3.30
meta,25,3.30
includes,25,3.30
flexible,25,3.30
generate,25,3.30
entrepreneurship,25,3.30
manner,25,3.30
obtained,25,3.30
changing,25,3.30
consider,25,3.30
via,25,3.30
integrating,25,3.30
inter,25,3.30
functional,25,3.30
requires,25,3.30
carried,25,3.30
provided,25,3.30
indicator,25,3.30
enhance,25,3.30
detailed,25,3.30
ability,25,3.30
reservoir,25,3.30
organisational,25,3.30
phases,24,3.17
require,24,3.17
discovery,24,3.17
risks,24,3.17
increasingly,24,3.17
illustrate,24,3.17
matching,24,3.17
aspect,24,3.17
target,24,3.17
evaluating,24,3.17
sales,24,3.17
conference,24,3.17
switzerland,24,3.17
effect,24,3.17
focuses,24,3.17
clinical,24,3.17
units,24,3.17
forecasting,24,3.17
scenarios,24,3.17
supported,24,3.17
holistic,23,3.04
progress,23,3.04
rapid,23,3.04
intelligent,23,3.04
centric,23,3.04
initial,23,3.04
hence,23,3.04
effects,23,3.04
allow,23,3.04
experts,23,3.04
ensure,23,3.04
reporting,23,3.04
communication,23,3.04
environments,23,3.04
automatically,23,3.04
offers,23,3.04
steps,23,3.04
reserved,23,3.04
contribute,23,3.04
datasets,22,2.91
capacity,22,2.91
formal,22,2.91
deployment,22,2.91
additional,22,2.91
growing,22,2.91
values,22,2.91
collection,22,2.91
specifically,22,2.91
advantages,22,2.91
measured,22,2.91
experimental,22,2.91
ag,22,2.91
scm,22,2.91
reports,22,2.91
procedures,22,2.91
particularly,22,2.91
hospitals,22,2.91
topics,22,2.91
consists,22,2.91
recently,22,2.91
effectively,22,2.91
balanced,22,2.91
useful,22,2.91
demands,22,2.91
originality,22,2.91
distribution,22,2.91
continuously,21,2.77
historical,21,2.77
layer,21,2.77
representation,21,2.77
addressed,21,2.77
optimize,21,2.77
designing,21,2.77
situations,21,2.77
associated,21,2.77
chains,21,2.77
emerald,21,2.77
serve,21,2.77
perform,21,2.77
teaching,21,2.77
elsevier,21,2.77
reduction,21,2.77
search,21,2.77
derived,21,2.77
suggest,20,2.64
global,20,2.64
cross,20,2.64
combination,20,2.64
defining,20,2.64
scor,20,2.64
overview,20,2.64
agile,20,2.64
applicability,20,2.64
demand,20,2.64
programs,20,2.64
wide,20,2.64
investigation,20,2.64
introduced,20,2.64
sla,20,2.64
functions,20,2.64
predicting,20,2.64
sustainable,20,2.64
challenging,20,2.64
policies,20,2.64
student,20,2.64
modeled,20,2.64
indicate,20,2.64
frameworks,20,2.64
resulting,20,2.64
internal,20,2.64
corresponding,19,2.51
articles,19,2.51
architectures,19,2.51
verlag,19,2.51
excellence,19,2.51
contextual,19,2.51
considering,19,2.51
parameters,19,2.51
allowing,19,2.51
variety,19,2.51
transparency,19,2.51
industries,19,2.51
impacts,19,2.51
discover,19,2.51
creating,19,2.51
examine,19,2.51
factor,19,2.51
sets,19,2.51
adapt,19,2.51
enhanced,19,2.51
proceedings,19,2.51
compare,19,2.51
consequently,19,2.51
rpa,19,2.51
underlying,19,2.51
interviews,19,2.51
database,19,2.51
capable,19,2.51
apply,19,2.51
typically,19,2.51
explore,19,2.51
concerning,18,2.38
utilization,18,2.38
