citation_item,item_count,frequency
none available,501,66.18
"Ghannouchi, S.A.",8,1.06
"Resinas, M.",6,0.79
"Ruiz-Cortés, A.",6,0.79
"Röglinger, Maximilian",5,0.66
"Leymann, Frank",5,0.66
"Felden, C.",5,0.66
"Pidun, T.",5,0.66
"Weber, I.",4,0.53
"Ren, Changrui",4,0.53
"Song, M.",4,0.53
"Gohar, S.R.",4,0.53
"Del-Río-Ortega, A.",4,0.53
"Indulska, M.",4,0.53
"Amyot, D.",4,0.53
"Mendling, J.",4,0.53
"Leymann, F.",4,0.53
"Satyal, S.",4,0.53
"Becker, Jörg",4,0.53
"Matzner, M.",4,0.53
"Leemans, Sander J. J.",3,0.40
"Wynn, Moe T.",3,0.40
"Bandara, W.",3,0.40
"Dumas, Marlon",3,0.40
"Bandara, Wasana",3,0.40
"Paik, H.-Y.",3,0.40
"Matzner, Martin",3,0.40
"Weinzierl, S.",3,0.40
"Pautasso, Cesare",3,0.40
"Mohan, R.",3,0.40
"Van Looy, Amy",3,0.40
"Quiroz-Flores, Juan Carlos",3,0.40
"Janiesch, Christian",3,0.40
"Žunić, E.",3,0.40
"Ding, Hongwei",3,0.40
"Carroll, N.",3,0.40
"Karabegović, A.",3,0.40
"Pidun, Tim",3,0.40
"Felden, Carsten",3,0.40
"Zilker, S.",3,0.40
"Djedović, A.",3,0.40
"Cabanillas, C.",3,0.40
"Wang, Wei",3,0.40
"Dong, Jin",3,0.40
"Schiefer, J.",3,0.40
"Barba, I.",2,0.26
"Khan, M.N.",2,0.26
"Abdou, M.",2,0.26
"Ali, M.",2,0.26
"Shahzad, K.",2,0.26
"Rozinat, A.",2,0.26
"Amor, Emna Ammar El Hadj",2,0.26
"Calabrese, A.",2,0.26
"Ghannouchi, Sonia Ayachi",2,0.26
"Cimino, Mario G. C. A.",2,0.26
"Vaglini, Gigliola",2,0.26
"April, Jay",2,0.26
"Ceravolo, Paolo",2,0.26
"Peyton, Liam",2,0.26
"Richardson, I.",2,0.26
"Whelan, E.",2,0.26
"Azadeh, A.",2,0.26
"Bazoun, Hassan",2,0.26
"Rosa, Marcello La",2,0.26
"Wynn, M.T.",2,0.26
"Marr, B.",2,0.26
"Bratanis, Konstantinos",2,0.26
"Dranidis, Dimitris",2,0.26
"Paiano, Roberto",2,0.26
"Zacharewicz, Gregory",2,0.26
"Calabro, A.",2,0.26
"Lonetti, F.",2,0.26
"Marchetti, E.",2,0.26
"Diamantini, Claudia",2,0.26
"Potena, Domenico",2,0.26
"Storti, Emanuele",2,0.26
"Cardoso, E.C.S.",2,0.26
"Fantinato, M.",2,0.26
"Ducq, Yves",2,0.26
"Hu, L.",2,0.26
"Hess, Thomas",2,0.26
"Yigitbasioglu, O.",2,0.26
"Casati, Fabio",2,0.26
"Steinmetz, Ralf",2,0.26
"El Hadj Amor, E.A.",2,0.26
"Repp, Nicolas",2,0.26
"Martinho, R.",2,0.26
"Chowdhary, P.",2,0.26
"Winter, Robert",2,0.26
"Wortmann, Felix",2,0.26
"Santoro, Flavia Maria",2,0.26
"Adams, M.",2,0.26
"Folino, Francesco",2,0.26
"Pontieri, Luigi",2,0.26
"Raahemi, Bijan",2,0.26
"Ensslin, L.",2,0.26
"del-Río-Ortega, A.",2,0.26
"Durán, A.",2,0.26
"Misic, M.",2,0.26
"Dunzer, S.",2,0.26
"Eckert, Julian",2,0.26
"Schulte, Stefan",2,0.26
"Jain, Hemant K.",2,0.26
"Maggi, Fabrizio Maria",2,0.26
"Pontieri, L.",2,0.26
"Elhadjamor, E.A.",2,0.26
"Ehm, Hans",2,0.26
"Huemer, C.",2,0.26
"Nurkasanah, I.",2,0.26
"Escorcia, A.",2,0.26
"Saputelli, L.",2,0.26
"Janiesch, C.",2,0.26
"Franco-Santos, M.",2,0.26
"Neely, A.",2,0.26
"Comuzzi, Marco",2,0.26
"Baïna, Karim",2,0.26
"Ghasemi, M.",2,0.26
"Gourova, Elissaveta",2,0.26
"Dragomirova, Mila",2,0.26
"Han, K.H.",2,0.26
"Kang, J.G.",2,0.26
"Han, Kwan Hee",2,0.26
"Kang, Jin Gu",2,0.26
"Ratusny, Marco",2,0.26
"Bork, Dominik",2,0.26
"Santos, S.",2,0.26
"Guarascio, M.",2,0.26
"Folino, F.",2,0.26
"Gan, Boon Ping",2,0.26
"Lendermann, Peter",2,0.26
"Röglinger, M.",2,0.26
"Lehnert, M.",2,0.26
"Saidi, R.",2,0.26
"Rahmani, M.D.",2,0.26
"Abeygunasekera, A.W.J.C.",2,0.26
"Tomarchio, O.",2,0.26
"Kluth, M.",2,0.26
"Louati, A.",2,0.26
"Di Ciccio, C.",2,0.26
"Mendling, Jan",2,0.26
"Seidel, S.",2,0.26
"Lamine, Elyes",2,0.26
"Pingaud, Hervé",2,0.26
"Stierle, M.",2,0.26
"Teinemaa, Irene",2,0.26
"Loos, P.",2,0.26
"Kohlbacher, M.",2,0.26
"Leyer, Michael",2,0.26
"Zeng, Luyuan",2,0.26
"Majeed, B.",2,0.26
"Zhang, Ce",2,0.26
"Longo, L.",2,0.26
"Müller, Oliver",2,0.26
"Karastoyanova, Dimka",2,0.26
"Rosemann, Michael",2,0.26
