citation_item,item_count,frequency
none available,432,57.07
2007,16,2.11
"M Dumas, 2018, 10.1007/978-3-662-56509-4",13,1.72
2006,12,1.59
10.1007/978-3-662-49851-4,11,1.45
10.1007/978-3-642-33143-5,10,1.32
10.1016/j.compind.2003.10.007,8,1.06
10.1109/ICEBE.2005.110,8,1.06
10.1007/978-3-662-56509-4,8,1.06
2009,8,1.06
"M Hammer, 1993",8,1.06
2008,7,0.92
2019,7,0.92
"AR Hevner, 2004, 10.2307/25148625",7,0.92
10.1109/EDOC.2009.18,7,0.92
"K Peffers, 2007, 10.2753/MIS0742-1222240302",7,0.92
10.1016/S0007-6813(05)80064-3,7,0.92
"P Trkman, 2010, 10.1016/j.ijinfomgt.2009.07.003",7,0.92
10.1007/978-3-319-07881-6_31,7,0.92
2001,7,0.92
2013,7,0.92
"hammer, 1993",6,0.79
10.1023/B:DAPD.0000031635.88567.65,6,0.79
10.1007/978-3-642-45100-3_5,6,0.79
"WMP van der Aalst, 2016, 10.1007/978-3-662-49851-4",6,0.79
10.1016/j.is.2009.12.001,6,0.79
"RS Kaplan, 1996",6,0.79
"RT Watson, 2010, 10.2307/20721413",6,0.79
"M Dumas, 2013, 10.1007/978-3-642-33143-5",6,0.79
10.1016/j.is.2010.09.001,6,0.79
2003,6,0.79
10.1109/CBI.2017.46,6,0.79
2016,6,0.79
"HA Reijers, 2005, 10.1016/j.omega.2004.04.012",6,0.79
10.1145/2939672.2939785,6,0.79
10.1145/3301300,6,0.79
2010,6,0.79
2005,6,0.79
10.1007/978-3-642-19345-3,6,0.79
10.1155/2013/507984,5,0.66
10.2307/25148625,5,0.66
10.17265/2159-5313/2016.09.003,5,0.66
"J vom Brocke, 2016, 10.1016/j.ijinfomgt.2015.10.002",5,0.66
10.1504/IJBPM.2003.002097,5,0.66
10.1007/3-540-44895-0_1,5,0.66
10.1007/978-3-540-88871-0_22,5,0.66
10.1016/j.compind.2005.03.001,5,0.66
"J vom Brocke, 2021, 10.1007/s12599-021-00718-8",5,0.66
2017,5,0.66
"H Chen, 2012, 10.2307/41703503",5,0.66
10.1007/978-3-319-98648-7_27,5,0.66
10.1109/TSC.2017.2772256,5,0.66
"I Verenich, 2019, 10.1145/3331449",5,0.66
10.1007/978-3-319-59536-8_30,5,0.66
2011,5,0.66
"P Badakhshan, 2022, 10.1016/j.jsis.2022.101745",5,0.66
10.1108/01443579510083622,4,0.53
10.1147/sj.453.0587,4,0.53
10.1108/01443579710177888,4,0.53
10.1109/EDOC.2007.14,4,0.53
10.1023/A:1010933404324,4,0.53
10.1002/widm.1045,4,0.53
