citation_item,item_count,frequency
none available,444,58.65
Business process management,87,11.49
Process mining,30,3.96
BPM,28,3.70
Business Process Management,17,2.25
Performance measurement,16,2.11
KPI,16,2.11
Simulation,14,1.85
Business process,13,1.72
Key performance indicators,12,1.59
business process management,11,1.45
BPMN,10,1.32
Business processes,8,1.06
Data mining,8,1.06
Process performance indicators,8,1.06
Performance indicators,7,0.92
Performance,7,0.92
Performance management,7,0.92
Workflow,7,0.92
Process Mining,7,0.92
Process modeling,6,0.79
Ontology,6,0.79
Process management,6,0.79
Goal modeling,5,0.66
Process performance measurement,5,0.66
Digitalization,5,0.66
Supply chain management,5,0.66
business process,5,0.66
Business process improvement,5,0.66
Business process modeling,5,0.66
Business process management (BPM),5,0.66
Business intelligence,5,0.66
Big data,5,0.66
Business process modelling,5,0.66
Green BPM,5,0.66
Case study,5,0.66
Ontologies,4,0.53
business intelligence,4,0.53
performance measurement,4,0.53
Deep learning,4,0.53
Design science research,4,0.53
Balanced scorecard,4,0.53
Predictive analytics,4,0.53
Machine learning,4,0.53
Business process managemen,4,0.53
Emergency department,4,0.53
Strategic alignment,4,0.53
Robotic process automation,4,0.53
Process modelling,4,0.53
Organizational performance,4,0.53
Strategy,4,0.53
Systematic literature review,4,0.53
AB testing,4,0.53
Indicator,4,0.53
Sustainability,4,0.53
Industry 4.0,4,0.53
Key Performance Indicators,4,0.53
Performance measures,4,0.53
Complex event processing,3,0.40
SLA,3,0.40
BPR,3,0.40
RPA,3,0.40
Business process reengineering,3,0.40
Healthcare,3,0.40
Business process simulation,3,0.40
Process monitoring,3,0.40
Business Process Management (BPM),3,0.40
Business performance management,3,0.40
Green business process management,3,0.40
Risk management,3,0.40
Metrics,3,0.40
Prediction,3,0.40
key performance indicators,3,0.40
Process improvement,3,0.40
Management,3,0.40
systematic literature review,3,0.40
Event logs,3,0.40
Performance measurement system,3,0.40
Business model,3,0.40
process mining,3,0.40
Process orientation,3,0.40
Requirements engineering,3,0.40
Green IT,3,0.40
process monitoring,3,0.40
Key Performance Indicator,3,0.40
Process optimization,3,0.40
Business Process Monitoring,3,0.40
Management control systems,3,0.40
Project management,3,0.40
Optimization,3,0.40
RFID,2,0.26
Modeling,2,0.26
Enterprise modeling,2,0.26
SCOR,2,0.26
Performance metrics,2,0.26
Structured literature review,2,0.26
Process redesign,2,0.26
Goals,2,0.26
Key performance indicators (KPI),2,0.26
Business Process Model,2,0.26
Conformance checking,2,0.26
Key Performance Indicators (KPI),2,0.26
SOA,2,0.26
Process awareness,2,0.26
Digital innovation,2,0.26
Higher education,2,0.26
Health care process,2,0.26
Environmental Performance Indicator (EPI),2,0.26
Predictive process monitoring,2,0.26
System dynamics,2,0.26
monitoring,2,0.26
prediction,2,0.26
Continuous improvement,2,0.26
knowledge management,2,0.26
Green IS,2,0.26
Analytics,2,0.26
Green Business Process Management,2,0.26
Fuzzy logic,2,0.26
Notation,2,0.26
Prescriptive business process monitoring,2,0.26
Indexed keywords,2,0.26
Business process model and notation,2,0.26
Internet of Things,2,0.26
Risk,2,0.26
Process Performance Management,2,0.26
Process analysis,2,0.26
Business process analysis,2,0.26
AHP,2,0.26
Business process management systems,2,0.26
Delphi study,2,0.26
Decision support,2,0.26
Business process re-engineering,2,0.26
Research work,2,0.26
Financial performance,2,0.26
Prescriptive analytics,2,0.26
Business Activity Monitoring,2,0.26
Recommender systems,2,0.26
Green information systems,2,0.26
Artificial intelligence,2,0.26
BPM adoption,2,0.26
Business activity monitoring,2,0.26
Health informatics,2,0.26
Business continuity,2,0.26
DevOps,2,0.26
BPM life cycle,2,0.26
Business process design,2,0.26
Performance analysis,2,0.26
Business process mode,2,0.26
Business process model,2,0.26
Business Process Modeling,2,0.26
TQM,2,0.26
Integration,2,0.26
Business Activity Monitoring (BAM),2,0.26
Practice,2,0.26
Key Performance Indicator (KPI),2,0.26
Digitalisation,2,0.26
Sustainable development,2,0.26
Trace simulation,2,0.26
Metamodeling,2,0.26
Modelling,2,0.26
Croatia,2,0.26
Information systems,2,0.26
Workflow management,2,0.26
syllabic reading method,2,0.26
teaching-learning methodwhole-word,2,0.26
Assessment,2,0.26
Process automation,2,0.26
business process goals,2,0.26
Automated analysis,2,0.26
Process performance,2,0.26
Methodology,2,0.26
Strategic goals,2,0.26
Service science,2,0.26
Social network analysis,2,0.26
metrics,2,0.26
Measurement,2,0.26
Activity-based costing,2,0.26
Business process intelligence,2,0.26
Technology,2,0.26
Standards,2,0.26
Data analytics,2,0.26
Key Performance Indicators (KPIs),2,0.26
Data science,2,0.26
Quality control,2,0.26
Visibility,2,0.26
Supply chain,2,0.26
Process Performance,2,0.26
Logistics,2,0.26
Performance Measurement System,2,0.26
key performance indicator,2,0.26
Quality of service,2,0.26
Reliability,2,0.26
Benchmarking,2,0.26
